model,dependency,universal_head,consistency,num_languages,languages,avg_relative_score,universality_score,normalized_layer_depth
gemma-2-9b,det,5_14,0.5,6,multilingual_analysis,0.9555366024494013,0.09376892612853514,0.12195121951219512
gemma-2-9b,mark,11_13,0.6,5,multilingual_analysis,0.8158052025357746,0.009145890597546147,0.2682926829268293
deberta-v3-base,det,5_7,0.5,8,multilingual_analysis,0.9381258543451617,0.008687455961664833,0.45454545454545453
Mistral-7B-v0.3,conjunctions,8_1,0.625,8,multilingual_analysis,0.9835460552192932,0.0060932884179177,0.25806451612903225
Llama-3.2-1B,advcl,8_25,0.5,8,multilingual_analysis,0.9549182789373017,0.004109375062565209,0.5333333333333333
mdeberta-v3-base,nominal_verb_arguments,10_2,0.5,8,multilingual_analysis,0.9862927293230602,0.004098450978102945,0.9090909090909091
deberta-v3-base,nominal_verb_arguments,11_4,0.75,8,multilingual_analysis,0.8823596963158834,0.0022744085573438424,1.0
mdeberta-v3-base,obj,9_1,0.5,8,multilingual_analysis,0.9871583716285566,0.0018189320940066476,0.8181818181818182
gemma-2-9b,conjunctions,13_2,0.5714285714285714,7,multilingual_analysis,0.9574863425765969,0.0016298632468047822,0.3170731707317073
deberta-v3-base,nominal_verb_arguments,5_7,0.5,8,multilingual_analysis,1.0,0.0015139676841725014,0.45454545454545453
mdeberta-v3-base,verb_auxiliars,10_2,0.625,8,multilingual_analysis,0.9776443575060181,0.0015023221420045606,0.9090909090909091
deberta-v3-base,cop,5_7,0.8571428571428571,7,multilingual_analysis,0.9345539445822978,0.0013065352100838726,0.45454545454545453
mdeberta-v3-base,case,4_3,0.5,8,multilingual_analysis,0.9956078503049237,0.0013007441101469859,0.36363636363636365
deberta-v3-base,cop,9_3,0.5714285714285714,7,multilingual_analysis,1.0,0.0012993728331900378,0.8181818181818182
bert-base-uncased,case,7_10,0.625,8,multilingual_analysis,0.9990810216711147,0.0012488671950309199,0.6363636363636364
deberta-v3-base,nmod,8_3,0.5714285714285714,7,multilingual_analysis,0.9766672077269375,0.0011978402820877457,0.7272727272727273
Llama-3.1-8B,obl,0_0,0.5714285714285714,7,multilingual_analysis,0.9134199260953274,0.001116250008714457,0.0
gemma-2-9b,case,6_4,0.5,6,multilingual_analysis,0.9992184498499942,0.0010866380306050292,0.14634146341463414
deberta-v3-base,noun_specifiers,5_7,0.75,8,multilingual_analysis,0.9924926332727682,0.0009464319381897711,0.45454545454545453
Mistral-7B-v0.3,appos,0_16,0.8571428571428571,7,multilingual_analysis,0.9587677270015593,0.0007748228801782413,0.0
deberta-v3-base,verb_auxiliars,5_7,0.75,8,multilingual_analysis,0.9660397715064986,0.0007642156707255081,0.45454545454545453
gemma-2-9b,mark,6_5,0.6,5,multilingual_analysis,0.9994282326802545,0.0007605520977855507,0.14634146341463414
bert-base-uncased,det,2_0,0.875,8,multilingual_analysis,0.9957424419491936,0.0007601055786356432,0.18181818181818182
bert-base-uncased,det,2_9,0.875,8,multilingual_analysis,0.9957424419491936,0.0007601055786356432,0.18181818181818182
Llama-3.2-1B,ccomp,9_13,0.625,8,multilingual_analysis,0.9125180939637632,0.0007216987569245955,0.6
Llama-3.2-1B,nominal_verb_arguments,6_3,0.5,8,multilingual_analysis,0.6308261065214176,0.0007191534412669425,0.4
Mistral-7B-v0.3,conjunctions,14_13,0.5,8,multilingual_analysis,0.8846890108008676,0.00070684162453338,0.45161290322580644
opt-125m,nmod,0_9,0.5714285714285714,7,multilingual_analysis,0.9607954678876615,0.0006840240080083805,0.0
bert-base-uncased,noun_specifiers,7_10,0.625,8,multilingual_analysis,0.9983477251161872,0.0006644485770341368,0.6363636363636364
Llama-3.2-3B,obl,9_7,0.5714285714285714,7,multilingual_analysis,0.9757875501886157,0.0006600733171831859,0.3333333333333333
